country,year,uniqueid,location_type,cellphone_access,household_size,age_of_respondent,gender_of_respondent,relationship_with_head,marital_status,education_level,job_type
Kenya,2018,uniqueid_3620,Urban,Yes,4,23,Male,Other relative,Single/Never Married,Secondary education,Remittance Dependent
Kenya,2018,uniqueid_217,Urban,Yes,4,35,Female,Head of Household,Divorced/Seperated,Secondary education,Self employed
Rwanda,2016,uniqueid_7345,Rural,Yes,2,19,Female,Head of Household,Single/Never Married,Secondary education,Farming and Fishing
Kenya,2018,uniqueid_5331,Rural,No,2,70,Male,Head of Household,Married/Living together,Primary education,Remittance Dependent
Kenya,2018,uniqueid_3288,Rural,Yes,1,71,Female,Head of Household,Divorced/Seperated,Primary education,Farming and Fishing
Tanzania,2017,uniqueid_2032,Urban,No,2,48,Female,Spouse,Single/Never Married,No formal education,Self employed
Rwanda,2016,uniqueid_8279,Rural,No,5,47,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
Tanzania,2017,uniqueid_964,Urban,Yes,2,38,Male,Head of Household,Single/Never Married,Secondary education,Informally employed
Rwanda,2016,uniqueid_3892,Rural,Yes,4,34,Male,Head of Household,Married/Living together,Secondary education,Informally employed
Rwanda,2016,uniqueid_3478,Rural,No,6,46,Female,Spouse,Married/Living together,Primary education,Informally employed
Kenya,2018,uniqueid_1266,Rural,No,1,57,Female,Head of Household,Widowed,Primary education,Remittance Dependent
Kenya,2018,uniqueid_4427,Urban,Yes,1,55,Female,Head of Household,Married/Living together,Secondary education,Farming and Fishing
Kenya,2018,uniqueid_5587,Rural,Yes,7,35,Male,Head of Household,Married/Living together,Primary education,Self employed
Kenya,2018,uniqueid_5126,Rural,Yes,2,54,Male,Head of Household,Widowed,Primary education,Farming and Fishing
Kenya,2018,uniqueid_2375,Urban,Yes,1,38,Female,Head of Household,Divorced/Seperated,Primary education,Self employed
Kenya,2018,uniqueid_5212,Rural,Yes,5,21,Male,Child,Single/Never Married,Vocational/Specialised training,Remittance Dependent
Tanzania,2017,uniqueid_2611,Rural,No,3,16,Female,Child,Divorced/Seperated,Primary education,Remittance Dependent
Kenya,2018,uniqueid_4155,Urban,Yes,7,32,Female,Spouse,Married/Living together,Vocational/Specialised training,Farming and Fishing
Tanzania,2017,uniqueid_653,Urban,Yes,2,40,Male,Head of Household,Single/Never Married,Primary education,Self employed
Rwanda,2016,uniqueid_2313,Rural,Yes,6,22,Male,Parent,Single/Never Married,Secondary education,Farming and Fishing
Kenya,2018,uniqueid_6018,Urban,Yes,5,38,Female,Spouse,Married/Living together,Secondary education,Remittance Dependent
Kenya,2018,uniqueid_351,Urban,Yes,1,27,Female,Head of Household,Single/Never Married,Secondary education,Self employed
Kenya,2018,uniqueid_3574,Urban,Yes,4,36,Male,Head of Household,Married/Living together,Vocational/Specialised training,Self employed
Tanzania,2017,uniqueid_4010,Urban,No,2,52,Male,Head of Household,Single/Never Married,Primary education,Self employed
Tanzania,2017,uniqueid_4851,Rural,No,2,19,Female,Spouse,Single/Never Married,Secondary education,Remittance Dependent
Kenya,2018,uniqueid_325,Rural,Yes,2,68,Male,Head of Household,Married/Living together,Primary education,Informally employed
Rwanda,2016,uniqueid_3393,Rural,Yes,4,25,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Tanzania,2017,uniqueid_5410,Rural,No,2,57,Female,Head of Household,Single/Never Married,Secondary education,Self employed
Kenya,2018,uniqueid_1496,Rural,Yes,4,26,Male,Head of Household,Married/Living together,Primary education,Self employed
Tanzania,2017,uniqueid_572,Urban,Yes,2,28,Male,Head of Household,Single/Never Married,Vocational/Specialised training,Formally employed Private
Rwanda,2016,uniqueid_8078,Urban,Yes,5,32,Male,Head of Household,Married/Living together,Primary education,Self employed
Rwanda,2016,uniqueid_2939,Rural,Yes,4,34,Female,Head of Household,Married/Living together,Primary education,Informally employed
Kenya,2018,uniqueid_5746,Rural,Yes,4,17,Female,Child,Single/Never Married,Secondary education,Farming and Fishing
Uganda,2018,uniqueid_241,Rural,Yes,5,39,Female,Spouse,Married/Living together,No formal education,Other Income
Rwanda,2016,uniqueid_6813,Rural,Yes,3,20,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_937,Rural,Yes,2,59,Female,Head of Household,Widowed,No formal education,Remittance Dependent
Tanzania,2017,uniqueid_2541,Urban,Yes,1,69,Male,Head of Household,Widowed,Primary education,Self employed
Kenya,2018,uniqueid_4296,Urban,Yes,5,30,Female,Head of Household,Married/Living together,Secondary education,Informally employed
Tanzania,2017,uniqueid_5909,Urban,Yes,2,36,Male,Head of Household,Single/Never Married,Primary education,Self employed
Uganda,2018,uniqueid_1828,Rural,Yes,4,25,Male,Head of Household,Married/Living together,Primary education,Self employed
Uganda,2018,uniqueid_1000,Rural,No,5,43,Female,Spouse,Married/Living together,Secondary education,Self employed
Tanzania,2017,uniqueid_1696,Urban,Yes,2,34,Male,Head of Household,Single/Never Married,Primary education,Self employed
Tanzania,2017,uniqueid_863,Urban,Yes,2,25,Male,Head of Household,Single/Never Married,Primary education,Self employed
Rwanda,2016,uniqueid_4410,Rural,Yes,1,63,Female,Head of Household,Widowed,Primary education,Informally employed
Rwanda,2016,uniqueid_3446,Rural,Yes,10,22,Male,Other non-relatives,Single/Never Married,Primary education,Informally employed
Uganda,2018,uniqueid_1397,Rural,Yes,7,53,Female,Head of Household,Widowed,Primary education,Other Income
Rwanda,2016,uniqueid_1608,Urban,Yes,5,25,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Kenya,2018,uniqueid_1975,Rural,No,3,55,Male,Head of Household,Married/Living together,No formal education,Informally employed
Rwanda,2016,uniqueid_1671,Rural,Yes,7,53,Female,Head of Household,Widowed,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_2517,Rural,Yes,7,45,Male,Head of Household,Married/Living together,Primary education,Self employed
Kenya,2018,uniqueid_4927,Urban,Yes,4,27,Female,Spouse,Married/Living together,No formal education,Remittance Dependent
Rwanda,2016,uniqueid_2369,Rural,Yes,3,28,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Tanzania,2017,uniqueid_4154,Urban,No,2,80,Male,Head of Household,Single/Never Married,No formal education,Informally employed
Rwanda,2016,uniqueid_795,Urban,Yes,7,46,Male,Head of Household,Married/Living together,Primary education,Informally employed
Tanzania,2017,uniqueid_2200,Urban,Yes,2,30,Male,Head of Household,Single/Never Married,Primary education,Self employed
Rwanda,2016,uniqueid_1259,Urban,Yes,1,39,Female,Head of Household,Widowed,No formal education,Farming and Fishing
Kenya,2018,uniqueid_4075,Rural,Yes,9,35,Male,Head of Household,Married/Living together,Secondary education,Formally employed Private
Kenya,2018,uniqueid_445,Rural,No,3,18,Female,Spouse,Married/Living together,Primary education,Remittance Dependent
Uganda,2018,uniqueid_1928,Rural,Yes,6,16,Female,Other relative,Single/Never Married,Primary education,Self employed
Tanzania,2017,uniqueid_1741,Urban,Yes,2,30,Female,Spouse,Single/Never Married,No formal education,Self employed
Tanzania,2017,uniqueid_266,Urban,Yes,2,57,Male,Head of Household,Single/Never Married,Primary education,Self employed
Tanzania,2017,uniqueid_4943,Urban,Yes,3,27,Female,Child,Married/Living together,Primary education,Informally employed
Kenya,2018,uniqueid_4445,Urban,Yes,4,53,Male,Head of Household,Married/Living together,Vocational/Specialised training,Farming and Fishing
Uganda,2018,uniqueid_1424,Urban,Yes,3,19,Male,Other relative,Single/Never Married,Primary education,Other Income
Rwanda,2016,uniqueid_8209,Rural,Yes,1,70,Female,Head of Household,Widowed,No formal education,Farming and Fishing
Kenya,2018,uniqueid_773,Rural,Yes,5,38,Female,Spouse,Married/Living together,Secondary education,Informally employed
Kenya,2018,uniqueid_3602,Rural,Yes,5,34,Female,Spouse,Married/Living together,Vocational/Specialised training,Formally employed Government
Tanzania,2017,uniqueid_4015,Urban,No,2,30,Female,Spouse,Single/Never Married,Primary education,Informally employed
Rwanda,2016,uniqueid_2406,Rural,Yes,9,73,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
Tanzania,2017,uniqueid_2167,Urban,Yes,2,40,Male,Head of Household,Single/Never Married,Primary education,Other Income
Uganda,2018,uniqueid_1250,Rural,No,3,63,Female,Spouse,Married/Living together,Primary education,Self employed
Rwanda,2016,uniqueid_7953,Rural,No,6,32,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
Rwanda,2016,uniqueid_4123,Rural,Yes,3,24,Female,Spouse,Married/Living together,Secondary education,Farming and Fishing
Tanzania,2017,uniqueid_1702,Urban,No,2,39,Female,Spouse,Single/Never Married,No formal education,Self employed
Rwanda,2016,uniqueid_2414,Rural,Yes,4,27,Female,Spouse,Married/Living together,No formal education,Farming and Fishing
Uganda,2018,uniqueid_1088,Urban,Yes,3,26,Male,Head of Household,Married/Living together,Tertiary education,Formally employed Private
Kenya,2018,uniqueid_5887,Rural,Yes,1,43,Female,Head of Household,Married/Living together,Primary education,Informally employed
Kenya,2018,uniqueid_3808,Urban,Yes,2,19,Male,Child,Single/Never Married,Secondary education,Remittance Dependent
Rwanda,2016,uniqueid_8595,Rural,Yes,7,44,Male,Head of Household,Married/Living together,Primary education,Informally employed
Uganda,2018,uniqueid_589,Rural,No,8,43,Female,Head of Household,Widowed,No formal education,Self employed
Rwanda,2016,uniqueid_2164,Rural,No,4,60,Female,Spouse,Married/Living together,Primary education,Informally employed
Kenya,2018,uniqueid_3959,Rural,Yes,4,36,Female,Spouse,Married/Living together,Secondary education,Informally employed
Rwanda,2016,uniqueid_5353,Rural,Yes,3,25,Female,Child,Single/Never Married,Secondary education,Farming and Fishing
Tanzania,2017,uniqueid_5118,Urban,Yes,1,61,Female,Head of Household,Married/Living together,Primary education,Remittance Dependent
Tanzania,2017,uniqueid_529,Urban,No,2,45,Male,Head of Household,Single/Never Married,Primary education,Informally employed
Kenya,2018,uniqueid_116,Rural,Yes,4,18,Male,Child,Single/Never Married,Secondary education,Remittance Dependent
Tanzania,2017,uniqueid_4799,Urban,No,2,26,Female,Spouse,Single/Never Married,Primary education,Informally employed
Tanzania,2017,uniqueid_193,Urban,No,1,57,Female,Head of Household,Married/Living together,Primary education,Self employed
Tanzania,2017,uniqueid_3886,Rural,Yes,2,28,Male,Head of Household,Single/Never Married,Secondary education,Informally employed
Rwanda,2016,uniqueid_5360,Rural,No,2,50,Female,Head of Household,Widowed,No formal education,Farming and Fishing
Rwanda,2016,uniqueid_4362,Rural,Yes,7,20,Male,Child,Single/Never Married,Secondary education,Informally employed
Rwanda,2016,uniqueid_1944,Rural,Yes,7,34,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Tanzania,2017,uniqueid_5886,Urban,Yes,1,33,Female,Head of Household,Married/Living together,Primary education,Self employed
Tanzania,2017,uniqueid_4453,Urban,Yes,1,53,Male,Head of Household,Single/Never Married,Primary education,Self employed
Tanzania,2017,uniqueid_2961,Urban,Yes,2,30,Male,Head of Household,Single/Never Married,No formal education,Self employed
Kenya,2018,uniqueid_1465,Rural,No,1,18,Male,Head of Household,Single/Never Married,Secondary education,Remittance Dependent
Rwanda,2016,uniqueid_2566,Rural,Yes,7,46,Male,Head of Household,Married/Living together,Primary education,Informally employed
Kenya,2018,uniqueid_3227,Rural,No,6,33,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Uganda,2018,uniqueid_657,Urban,Yes,8,63,Female,Head of Household,Married/Living together,Secondary education,Self employed
Tanzania,2017,uniqueid_6328,Rural,Yes,2,60,Female,Spouse,Single/Never Married,No formal education,Informally employed
Kenya,2018,uniqueid_5229,Rural,No,7,35,Female,Head of Household,Widowed,Primary education,Other Income
Tanzania,2017,uniqueid_5292,Rural,Yes,2,23,Female,Spouse,Single/Never Married,Primary education,Self employed
Uganda,2018,uniqueid_979,Urban,Yes,12,30,Female,Parent,Married/Living together,Secondary education,Formally employed Private
Uganda,2018,uniqueid_1291,Rural,No,4,23,Female,Spouse,Married/Living together,Secondary education,Self employed
Rwanda,2016,uniqueid_25,Rural,Yes,4,69,Female,Spouse,Married/Living together,No formal education,Farming and Fishing
Tanzania,2017,uniqueid_1767,Urban,Yes,5,27,Male,Parent,Divorced/Seperated,Vocational/Specialised training,Self employed
Tanzania,2017,uniqueid_3087,Rural,Yes,2,24,Male,Head of Household,Single/Never Married,Primary education,Informally employed
Rwanda,2016,uniqueid_7062,Rural,Yes,2,66,Female,Head of Household,Widowed,Primary education,Farming and Fishing
Tanzania,2017,uniqueid_2708,Urban,No,1,29,Female,Head of Household,Single/Never Married,Primary education,Self employed
Rwanda,2016,uniqueid_1336,Rural,Yes,7,42,Female,Spouse,Married/Living together,Primary education,Self employed
Uganda,2018,uniqueid_1876,Rural,No,3,37,Male,Head of Household,Divorced/Seperated,Primary education,Self employed
Uganda,2018,uniqueid_20,Urban,Yes,5,60,Male,Head of Household,Married/Living together,Primary education,Self employed
Kenya,2018,uniqueid_4664,Urban,Yes,1,45,Male,Head of Household,Married/Living together,Secondary education,Formally employed Government
Tanzania,2017,uniqueid_2138,Rural,No,3,18,Female,Other relative,Divorced/Seperated,Tertiary education,No Income
Rwanda,2016,uniqueid_2955,Rural,Yes,6,36,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Uganda,2018,uniqueid_291,Rural,Yes,7,19,Male,Parent,Single/Never Married,Secondary education,Self employed
Tanzania,2017,uniqueid_4424,Rural,Yes,2,25,Male,Head of Household,Divorced/Seperated,Secondary education,Self employed
Rwanda,2016,uniqueid_5569,Urban,Yes,6,36,Female,Spouse,Married/Living together,No formal education,Self employed
Rwanda,2016,uniqueid_99,Rural,No,2,47,Female,Head of Household,Divorced/Seperated,No formal education,Informally employed
Rwanda,2016,uniqueid_8147,Rural,Yes,3,25,Female,Child,Single/Never Married,Primary education,Farming and Fishing
Kenya,2018,uniqueid_487,Rural,No,8,78,Male,Head of Household,Married/Living together,No formal education,Remittance Dependent
Tanzania,2017,uniqueid_4072,Urban,No,2,25,Female,Spouse,Single/Never Married,Primary education,Self employed
Kenya,2018,uniqueid_1409,Urban,Yes,4,22,Female,Head of Household,Single/Never Married,Secondary education,Other Income
Rwanda,2016,uniqueid_671,Rural,Yes,4,25,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Tanzania,2017,uniqueid_2218,Urban,Yes,1,26,Female,Head of Household,Single/Never Married,Tertiary education,Formally employed Private
Rwanda,2016,uniqueid_8687,Rural,No,2,83,Female,Head of Household,Widowed,No formal education,Farming and Fishing
Tanzania,2017,uniqueid_3211,Urban,No,2,21,Female,Head of Household,Married/Living together,Primary education,Informally employed
Kenya,2018,uniqueid_5843,Urban,No,1,25,Female,Head of Household,Single/Never Married,Primary education,Remittance Dependent
Kenya,2018,uniqueid_2438,Rural,Yes,5,22,Female,Child,Single/Never Married,Secondary education,Informally employed
Kenya,2018,uniqueid_408,Urban,Yes,5,73,Male,Head of Household,Married/Living together,Primary education,Other Income
Tanzania,2017,uniqueid_5811,Urban,No,3,58,Female,Spouse,Single/Never Married,No formal education,Self employed
Kenya,2018,uniqueid_2676,Rural,No,2,70,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Kenya,2018,uniqueid_5114,Urban,No,4,17,Male,Other relative,Single/Never Married,Secondary education,Remittance Dependent
